objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,filename,identifier,display_template,object_location,image_small,image_alt_text,object_transcript
192301,生蕃傳說集封面,1923-11-20,yes,鹽月桃甫,,排灣族木雕圖騰,single-page; photographs,原住民; 佐山融吉；排灣族,"Taiwan,Taipei",,,National Taiwan University Library,National Taiwan University Library Digital Collections,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,1524000,Courtesy of National Taiwan University Library,https://rightsstatements.org/vocab/InC/1.0/,Image,image/jpeg,jpn,,192301.jpg,1524000-001,image,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,https://img.youtube.com/vi/x6eu5wj8b04/hqdefault.jpg,,
192302,生蕃傳說集封背,1923-11-20,yes,鹽月桃甫,,排灣族木雕圖騰,single-page; photographs,原住民; 佐山融吉；排灣族,"Taiwan,Taipei",39.770372,-89.639463,National Taiwan University Library,National Taiwan University Library Digital Collections,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,1524000,Courtesy of National Taiwan University Library,https://rightsstatements.org/vocab/InC/1.0/,Image,image/jpeg,jpn,,192302.jpg,1524000-002,image,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,,,
192303,生蕃傳說集內頁插圖,1923-11-20,yes,鹽月桃甫,,水墨線條,single-page; photographs,原住民; 佐山融吉,"Taiwan,Taipei",,,National Taiwan University Library,National Taiwan University Library Digital Collections,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,1524000,Courtesy of National Taiwan University Library,https://rightsstatements.org/vocab/InC/1.0/,Image,image/jpeg,jpn,,192303.jpg,1524000-003,image,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,,,
192304,生蕃傳說集內頁插圖,1923-11-20,yes,鹽月桃甫,,水墨線條,single-page; photographs,原住民; 佐山融吉,"Taiwan,Taipei",24.19410073432888,121.49058096351577,National Taiwan University Library,National Taiwan University Library Digital Collections,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,1524000,Courtesy of National Taiwan University Library,https://rightsstatements.org/vocab/InC/1.0/,Image,image/jpeg,jpn,,192304.jpg,1524000-004,image,https://dl.lib.ntu.edu.tw/s/spring/item/1524000,,,
